titulo,url,preco,tipo,bairro,cidade,estado,cep,quartos,banheiros,garagens,area_m2,descricao,imagens
"Apartamento com 2 dormitórios para alugar, 54 m² por R$ 3.000,00/mês - Aeroclube - João Pe",https://pb.olx.com.br/paraiba/imoveis/apartamento-com-2-dormitorios-para-alugar-54-m-por-r-3-000-00-mes-aeroclube-joao-pe-1486261315,3000.0,Apartamento,"João Pessoa, AeroclubeHoje, 17:49",,,,2.0,,,54.0,,
Imóvel para venda com 45 metros quadrados com 1 quarto em Jardim Oceania - João Pessoa - P,https://pb.olx.com.br/paraiba/imoveis/imovel-para-venda-com-45-metros-quadrados-com-1-quarto-em-jardim-oceania-joao-pessoa-p-1486261354,1200000.0,Imóvel,Jardim Oceania,João Pessoa,PB,58037-030,1.0,,,45.0,"Código do anúncio: MM16 Pé na areia no Jardim Oceania  vista privilegiada para o mar. Imagine acordar todos os dias com o som das ondas e uma vista incrível do mar. Este flat é a escolha perfeita para quem busca conforto, exclusividade e localização privilegiada. Localização: Jardim Oceania Frente mar  pé na areia Área: 45 m² Andar: 3º Condomínio: R$ 925 Ideal tanto para morar quanto para investir em uma das regiões mais valorizadas de João Pessoa. Valor: R$ 1.200.000 Uma oportunidade única de viver ou investir literalmente de frente para o mar. Não perca essa oportunidade e agende sua visita! Corretora Michelle Matos  CRECI: F / PB",https://img.olx.com.br/images/16/169670144033874.jpg | https://img.olx.com.br/images/16/162645381373571.jpg | https://img.olx.com.br/images/16/161694265571575.jpg | https://img.olx.com.br/images/17/172659147360710.jpg | https://img.olx.com.br/images/16/160651381891673.jpg | https://img.olx.com.br/images/16/168691268010482.jpg | https://img.olx.com.br/images/17/176679384272342.jpg | https://img.olx.com.br/images/16/168643380238765.jpg | https://img.olx.com.br/images/17/174645148212106.jpg | https://img.olx.com.br/images/16/161675745953216.jpg | https://img.olx.com.br/images/16/163643869217805.jpg
Casa no Cond. Águas da Serra com vista para o vale ,https://pb.olx.com.br/paraiba/imoveis/casa-no-cond-aguas-da-serra-com-vista-para-o-vale-1433735702,3977000.0,Casa,,João Pessoa,PB,58035-105,6.0,,,539.0,"Em construção (85% concluída) - entrega prevista para junho /2026  Descrição do Imóvel:  -      Área do lote: 539 m²        -      Área construída: 410,51 m²        -      6 Suites   - Adega        -      Fire place        -       Fonte de aguas imitando uma cachoeira  - Salão de jogos/festas        -       Espelho d?água    - Área gourmet com vista para o vale  - Piscina    ? Condomínio Águas da Serra Um dos empreendimentos mais completos e sofisticados da Paraíba, com infraestrutura de lazer, segurança e bem-estar: - Portaria 24h - Campo de golf e mini golf - Piscina e área de lazer completa (quadras de tênis, beach tênis e futebol gramado) - Central de carregamento para carros elétricos - Academia com personal trainer - Fazendinha, passeios de cavalo e charrete - Capela - Dois restaurantes - Espaço zen - Engenho próprio - Heliporto - 4 lagos para pesca, pedalinho, cooper e contemplação da natureza - Localização: Quadra R - Lote 14 - Bananeiras/PB",https://img.olx.com.br/images/13/130506328918442.jpg | https://img.olx.com.br/images/13/137504209969521.jpg | https://img.olx.com.br/images/12/121588326200545.jpg | https://img.olx.com.br/images/12/129510086352177.jpg | https://img.olx.com.br/images/12/121586923592558.jpg | https://img.olx.com.br/images/12/124586447778563.jpg | https://img.olx.com.br/images/14/142550682636206.jpg
Pent Haus - Bessa - Construção - Alto padrão - Andar alto - 81m² - 03 Suítes - Repasse - D,https://pb.olx.com.br/paraiba/imoveis/pent-haus-bessa-construcao-alto-padrao-andar-alto-81m-03-suites-repasse-d-1486259489,1100000.0,Imóvel,,João Pessoa,PB,58037-725,3.0,,2.0,81.0,"Código do anúncio: Pent Haus 81 Rep* CONSTRUÇÃO NO BESSA - ÓTIMO LOCAL - ENTREGA PARA JUNHO 2026 - REPASSE EXCLUSIVO - ANDAR ALTO - 81M² - 03 SUÍTES S/ 01 REVERSÍVEL - COM DEPÓSITO PRIVATIVO NO SUBSOLO - 02 VAGAS - R.I Nº R-2-144.665 Magnífico empreendimento de alto padrão, em fase de construção no Bessa, muito bem localizado, cercado por uma excelente infraestrutura urbana, contado com 25 pavimentos tipo, com 06 unidades por andar. Uma estrutura de lazer completíssima, composta por: quadra poliesportiva, arena beach tênis, pet place, piscina, área de convivência molhada, academia, espaço fit externo, salão de festas, espaço gourmet, brinquedoteca, game room, coworking, etc. Repasse de unidade em andar muito alto, com 81m², contendo: sala para 02 ambientes com varanda, 03 suítes sendo 01 reversível, WCS, cozinha, área de serviço e 02 vagas de garagem, na posição nascente. Super oportunidade. Entre em contato através do ( 8 3 ) 9 9 9 8 6 - 9 2 1 8 (Whatsapp) e solicite as condições do repasse. CRECI/PB: 871-J - SELECT NEGÓCIOS IMOBILIÁRIOS",https://img.olx.com.br/images/78/780618501857688.jpg | https://img.olx.com.br/images/83/837675389519536.jpg | https://img.olx.com.br/images/84/842660506141993.jpg | https://img.olx.com.br/images/81/811647260834023.jpg | https://img.olx.com.br/images/77/777686145052883.jpg | https://img.olx.com.br/images/77/772610620503969.jpg | https://img.olx.com.br/images/83/839619381506219.jpg | https://img.olx.com.br/images/86/868646866863983.jpg | https://img.olx.com.br/images/79/791622385135118.jpg | https://img.olx.com.br/images/86/868656143894696.jpg
Apartamento 60m Intermares,https://pb.olx.com.br/paraiba/imoveis/apartamento-60m-intermares-1486259219,470000.0,Apartamento,,Cabedelo,PB,58102-236,2.0,,,60.0,"Apartamento com 60m², 02 quartos sendo um suíte, sala para dois ambientes, cozinha, area de serviço, banheiro social e varanda, uma garagem, localização  uma rua paralela ao mar. Com elevador, porteiro eletrônico. Não deixe de conhecer e se encantar com a localização desse apartamento. Contato: 83 9.8871-1000 Maritiam - Corretora de Imóveis - CRECI 4139-F Perita Avaliadora  CNAI 5955",https://img.olx.com.br/images/16/168662143566140.jpg | https://img.olx.com.br/images/23/230650389471108.jpg | https://img.olx.com.br/images/29/296660502933634.jpg | https://img.olx.com.br/images/33/334630505793243.jpg | https://img.olx.com.br/images/39/397633626883583.jpg | https://img.olx.com.br/images/44/443654867975409.jpg | https://img.olx.com.br/images/48/489670141955601.jpg | https://img.olx.com.br/images/53/536685262349980.jpg | https://img.olx.com.br/images/59/592662262273127.jpg
Imóvel para venda com 24 metros quadrados com 1 quarto em Cabo Branco - João Pessoa - PB,https://pb.olx.com.br/paraiba/imoveis/imovel-para-venda-com-24-metros-quadrados-com-1-quarto-em-cabo-branco-joao-pessoa-pb-1486258639,708000.0,Imóvel,Cabo Branco,João Pessoa,PB,58045-010,1.0,,,,"Código do anúncio: AICBS02S Empreendimento que redefine o conceito de luxo e exclusividade na orla de Cabo Branco, um dos bairros mais valorizados de João Pessoa. Ambientes que  traz sofisticação, design e um conceito único que une moda, arte e arquitetura. O empreendimento foi pensado para quem busca exclusividade, conforto e alto potencial de valorização. Além disso, o condomínio oferece uma infraestrutura completa de lazer e experiências para você e/ou seus hóspedes, incluindo:  Rooftop com vista privilegiada da orla  Piscina e espaços de relaxamento  Academia equipada  Spa e áreas de bem-estar  Coworking  Cinema  Restaurantes e áreas de convivência sofisticadas Tudo isso em uma localização privilegiada à beira-mar, cercada por gastronomia, serviços e lazer.  Uma oportunidade única para morar ou investir em um dos empreendimentos mais exclusivos de João Pessoa.  Entre em contato para mais informações e agendar uma visita. AVA IMOBILIÁRIA  CRECI 1104-J",https://img.olx.com.br/images/61/617668868223881.jpg | https://img.olx.com.br/images/61/612600146808145.jpg | https://img.olx.com.br/images/61/616684384048475.jpg | https://img.olx.com.br/images/61/611613625179798.jpg | https://img.olx.com.br/images/61/611614028745640.jpg | https://img.olx.com.br/images/61/611616742754465.jpg | https://img.olx.com.br/images/61/619632863782778.jpg | https://img.olx.com.br/images/61/612679383295022.jpg | https://img.olx.com.br/images/61/612612625499852.jpg | https://img.olx.com.br/images/61/614623147584196.jpg | https://img.olx.com.br/images/61/612637385943537.jpg | https://img.olx.com.br/images/61/615654627346930.jpg | https://img.olx.com.br/images/61/617673148798539.jpg | https://img.olx.com.br/images/61/618621261269548.jpg | https://img.olx.com.br/images/61/610602145609261.jpg | https://img.olx.com.br/images/61/611691741619980.jpg | https://img.olx.com.br/images/61/616697749405003.jpg | https://img.olx.com.br/images/61/618683507852508.jpg | https://img.olx.com.br/images/60/603646141348784.jpg
Alugo Casa com 3 Quartos e Quintal Amplo no Bairro do Catolé - Campina Grande - PB,https://pb.olx.com.br/paraiba/imoveis/alugo-casa-com-3-quartos-e-quintal-amplo-no-bairro-do-catole-campina-grande-pb-1486258249,2600.0,Casa,"Campina Grande, CatoléHoje, 17:36",,,,3.0,,,3145.0,,
APARTAMENTO PARA LOCAÇÃO NO JARDIM OCEANIA,https://pb.olx.com.br/paraiba/imoveis/apartamento-para-locacao-no-jardim-oceania-1486258272,4600.0,Apartamento,"João Pessoa, Jardim OceaniaHoje, 17:36",,,,,,,257.0,,
Apartamento 2 quartos em Tambaú com Vista Ampla do Mar e 1 rua de distância da praia,https://pb.olx.com.br/paraiba/imoveis/apartamento-2-quartos-em-tambau-com-vista-ampla-do-mar-e-1-rua-de-distancia-da-praia-1486257723,4500.0,Apartamento,"João Pessoa, TambaúHoje, 17:35",,,,2.0,,,265.0,,
Oportunidade!lote de terreno ao lado do aeroporto.,https://pb.olx.com.br/paraiba/terrenos/oportunidade-lote-de-terreno-ao-lado-do-aeroporto-1470562482,55000.0,Terreno,,,,,,,,,Grande oportunidade! Lotes 12x30 ao lado do Aeroporto Castro Pinto.55 mil reais  em até 10x no cartão ou R$ 50 mil à vista.tenho 4 lotes disponíveis. ? Contato: (83) 98731-2099 - Josué,https://img.olx.com.br/images/95/955621604774048.jpg | https://img.olx.com.br/images/97/970690605694354.jpg | https://img.olx.com.br/images/99/995661240795264.jpg | https://img.olx.com.br/images/12/121675363050347.jpg | https://img.olx.com.br/images/14/144677368372854.jpg | https://img.olx.com.br/images/16/165698369832582.jpg | https://img.olx.com.br/images/19/193680365021787.jpg | https://img.olx.com.br/images/22/223673241980233.jpg
"Apartamento Manaira junto MAG, beira mar",https://pb.olx.com.br/paraiba/imoveis/apartamento-manaira-junto-mag-beira-mar-1485343794,2200.0,Apartamento,"João Pessoa, ManaíraHoje, 17:33",,,,,,,137.0,,
Ap mobiliado em Tambaú com 2 quartos,https://pb.olx.com.br/paraiba/imoveis/ap-mobiliado-em-tambau-com-2-quartos-1475653947,4370.0,Imóvel,"João Pessoa, TambaúHoje, 17:32",,,,2.0,,,249.0,,
Apartamento Nascente Sul 3 quartos no Jardim Oceania,https://pb.olx.com.br/paraiba/imoveis/apartamento-nascente-sul-3-quartos-no-jardim-oceania-1486256720,750000.0,Apartamento,,João Pessoa,PB,58037-005,3.0,1.0,2.0,110.0,"Código do anúncio: YM09 Excelente apartamento à venda no bairro Jardim Oceania! Valor: R$ 750.000 Área: 110 m² Andar: 4º Posição: Nascente Sul Apartamento bem distribuído e ventilado, com sala de estar e jantar, cozinha ampla, área de serviço e dependência de empregada com banheiro. Possui 3 quartos, sendo 2 suítes, além de 1 banheiro social. Conta com 2 vagas de garagem cobertas! Condomínio: R$ 962,50 IPTU: R$ 741 Estrutura do prédio: Piscina 2 elevadores (social e serviço) Sauna Salão de festas Localizado no bairro Jardim Oceania, uma das regiões mais valorizadas da cidade, próximo à praia, com fácil acesso a comércios, restaurantes e serviços. Não perca essa oportunidade e agende sua visita! Corretor Yuri Magalhães  CRECI - 16025 F / PB",https://img.olx.com.br/images/42/424627021063008.jpg | https://img.olx.com.br/images/40/405619027339114.jpg | https://img.olx.com.br/images/41/414612147776670.jpg | https://img.olx.com.br/images/40/401648387401658.jpg | https://img.olx.com.br/images/42/425626387339653.jpg | https://img.olx.com.br/images/41/417644624156313.jpg | https://img.olx.com.br/images/40/403661140724246.jpg | https://img.olx.com.br/images/40/402631143530694.jpg | https://img.olx.com.br/images/41/413631504785452.jpg | https://img.olx.com.br/images/41/418672749644008.jpg | https://img.olx.com.br/images/41/413623022971306.jpg | https://img.olx.com.br/images/42/425688627749630.jpg | https://img.olx.com.br/images/41/419665741211896.jpg | https://img.olx.com.br/images/41/414633148530364.jpg | https://img.olx.com.br/images/40/402616741694901.jpg
Ap mobliado de 02 quartos em Tambaú,https://pb.olx.com.br/paraiba/imoveis/ap-mobliado-de-02-quartos-em-tambau-1480729579,4370.0,Imóvel,"João Pessoa, ManaíraHoje, 17:29",,,,2.0,,,252.0,,
Casa a venda,https://pb.olx.com.br/paraiba/imoveis/casa-a-venda-1486255867,240000.0,Casa,,João Pessoa,PB,58056-040,,,,,Vendo casa mangabeira 4 com mangabeira 8 Próximo a Valter gás  Em frente a Érica gás,https://img.olx.com.br/images/38/389669026071814.jpg | https://img.olx.com.br/images/40/406689024512923.jpg | https://img.olx.com.br/images/41/417672264651847.jpg | https://img.olx.com.br/images/43/436608627377058.jpg
Apartamentos com 02 qtos e  móveis projetados no mellho Bessa,https://pb.olx.com.br/paraiba/imoveis/apartamentos-com-02-qtos-e-moveis-projetados-no-mellho-bessa-1486253642,575.0,Apartamento,,João Pessoa,PB,58035-080,2.0,,2.0,59.0,"APARTAMENTO C/02 QUARTOS TODO PROJETADO NO PARK GUELL RESIDENCE NO BESSA APARTAMENTO NA MELHOR LOCALIZAÇÃO DO BESSA Apartamento com projeto do escritório ARAM arquitetura distribuído em 59m2, composto por 02 quartos, sendo 01 suíte, sala para dois ambientes, varanda, wc social, cozinha, área de serviço e 02 vaga de garagem. Ambientes com móveis projetados em alto padrão (Bontempo) e pensado para otimizar todos os espaços de forma que atenda a qualquer família. EDIFÍCIO: Com área de lazer na cobertura: Piscina deck molhado fitness salão de festas salão de jogos espaço kids playground hall social guarita churrasqueira praça do fogo",https://img.olx.com.br/images/58/582605386565251.jpg | https://img.olx.com.br/images/59/599674865525742.jpg | https://img.olx.com.br/images/58/582650868812157.jpg | https://img.olx.com.br/images/97/976693741865510.jpg | https://img.olx.com.br/images/97/971647145370405.jpg | https://img.olx.com.br/images/97/976634147496682.jpg | https://img.olx.com.br/images/28/280688146951017.jpg | https://img.olx.com.br/images/28/280619747002311.jpg | https://img.olx.com.br/images/28/287628266438798.jpg | https://img.olx.com.br/images/28/283608740930724.jpg | https://img.olx.com.br/images/28/287625506485256.jpg | https://img.olx.com.br/images/20/201629389950730.jpg | https://img.olx.com.br/images/20/200609023398687.jpg | https://img.olx.com.br/images/20/203674508147664.jpg | https://img.olx.com.br/images/20/201609020482242.jpg | https://img.olx.com.br/images/19/192691505866417.jpg | https://img.olx.com.br/images/20/208669141035612.jpg | https://img.olx.com.br/images/20/203652142115764.jpg | https://img.olx.com.br/images/93/938639741353963.jpg | https://img.olx.com.br/images/93/937669147690847.jpg
Colinas do Atlântico - Miramar - Andar alto - Leste - 86m² - 03 Quartos s/ 01 suíte + DCE ,https://pb.olx.com.br/paraiba/imoveis/colinas-do-atlantico-miramar-andar-alto-leste-86m-03-quartos-s-01-suite-dce-1486254961,670000.0,Imóvel,,João Pessoa,PB,58032-010,3.0,,2.0,86.0,"Código do anúncio: Colinas do Atlântico* NÃO ALUGAMOS - MIRAMAR - ANDAR ALTO - ESTRUTURA DE LAZER - 86M² - 03 QUARTOS SENDO 01 SUÍTE + DCE - 02 VAGAS Empreendimento muito bem localizado no Miramar, entre as avenidas Ruy Carneiro e Epitácio Pessoa, muito bem conservado e com ótima infraestrutura, composta por: portaria 24 horas, 02 elevadores, grupo gerador, salão de festas, sala de jogos, espaço gourmet com churrasqueira, playground, piscina, academia, etc. Apartamento em andar alto, na posição nascente, com 86m² de área privativa, contendo: 03 quartos sendo 01 suíte, sala para 02 ambientes com varanda, WCS, cozinha, área de serviço, DCE e 02 vagas de garagem. Possui alguns móveis projetados. Maiores informações ou agendamento de visitas, solicite através do ( 8 3 ) 9 9 9 8 6 - 9 2 1 8 (Whatsapp) CRECI/PB: 871-J - SELECT NEGÓCIOS IMOBILIÁRIOS",https://img.olx.com.br/images/32/328611381768525.jpg | https://img.olx.com.br/images/33/335677744917702.jpg | https://img.olx.com.br/images/32/321629744512822.jpg | https://img.olx.com.br/images/32/323679146571963.jpg | https://img.olx.com.br/images/32/326644741572316.jpg | https://img.olx.com.br/images/32/324668860143286.jpg | https://img.olx.com.br/images/32/321664264483564.jpg | https://img.olx.com.br/images/32/328668146235366.jpg | https://img.olx.com.br/images/32/327613742365967.jpg | https://img.olx.com.br/images/33/336679508632700.jpg | https://img.olx.com.br/images/32/320666146197132.jpg | https://img.olx.com.br/images/32/329673140667972.jpg | https://img.olx.com.br/images/32/326605263415269.jpg | https://img.olx.com.br/images/32/325631742875726.jpg | https://img.olx.com.br/images/32/322663384079212.jpg | https://img.olx.com.br/images/32/325640146089451.jpg | https://img.olx.com.br/images/32/329690509182523.jpg | https://img.olx.com.br/images/32/326601623109469.jpg | https://img.olx.com.br/images/33/338686625851735.jpg | https://img.olx.com.br/images/33/330635744086856.jpg
